id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,fico_range_low,fico_range_high,total_pymnt,total_rec_prncp,recoveries
1000040,35000,35000, 60 months,10.94%,759.94,B,B1,10+ years,OWN,32341.0,Not Verified,Sep-2018,Fully Paid,car,CA,28.54,740,744,43772.03,35000.0,0.0
1000041,5000,5000, 36 months,8.1%,156.91,A,A3,< 1 year,RENT,76072.0,Not Verified,May-2017,Charged Off,small_business,WA,15.12,740,744,809.38,647.51,463.78
1000042,8000,8000, 60 months,18.61%,205.81,D,D3,1 year,MORTGAGE,93834.0,Not Verified,Sep-2018,Charged Off,major_purchase,GA,32.52,705,709,4622.49,3697.99,229.16
1000043,20000,20000, 36 months,6.73%,615.08,A,A4,3 years,MORTGAGE,81180.0,Source Verified,Nov-2018,Charged Off,credit_card,VA,15.83,720,724,3058.97,2447.18,280.68
1000044,8000,8000, 60 months,18.02%,203.23,C,C1,7 years,MORTGAGE,45136.0,Not Verified,Mar-2018,Charged Off,medical,NJ,27.9,720,724,4017.44,3213.95,373.91
1000045,20000,20000, 36 months,7.38%,621.02,A,A4,10+ years,OWN,49482.0,Verified,Aug-2017,Charged Off,medical,NC,19.52,660,664,9968.17,7974.54,465.28
1000046,35000,35000, 60 months,9.73%,739.01,B,B5,3 years,OWN,152386.0,Source Verified,May-2018,Charged Off,home_improvement,TX,16.05,760,764,10720.0,8576.0,1309.64
1000047,35000,35000, 60 months,10.89%,759.07,B,B5,5 years,RENT,23653.0,Verified,Apr-2017,Fully Paid,home_improvement,CA,9.81,760,764,43831.37,35000.0,0.0
1000048,30000,30000, 36 months,5.68%,908.31,A,A4,10+ years,MORTGAGE,176677.0,Source Verified,Jan-2017,Charged Off,major_purchase,NJ,6.82,760,764,3998.38,3198.71,1783.3
1000049,10000,10000, 36 months,21.07%,377.11,D,D1,2 years,OWN,66415.0,Not Verified,Mar-2017,Current,vacation,NY,7.46,690,694,6358.82,4683.88,0.0
1000050,20000,20000, 60 months,14.55%,471.09,C,C1,7 years,MORTGAGE,26878.0,Not Verified,Jun-2018,Fully Paid,moving,CO,3.83,675,679,26882.02,20000.0,0.0
1000051,30000,30000, 60 months,23.28%,850.55,E,E5,n/a,MORTGAGE,91503.0,Verified,Jul-2018,Default,other,GA,12.49,660,664,13210.72,10568.57,1180.89
1000052,25000,25000, 60 months,19.06%,649.34,D,D5,n/a,RENT,49745.0,Not Verified,Jun-2017,Charged Off,medical,OH,9.81,780,784,3043.44,2434.75,453.75
1000053,20000,20000, 36 months,13.51%,678.8,B,B3,10+ years,OWN,88504.0,Verified,Mar-2017,Fully Paid,major_purchase,TX,14.33,720,724,23275.14,20000.0,0.0
1000054,35000,35000, 60 months,11.31%,766.41,B,B3,10+ years,MORTGAGE,116690.0,Not Verified,Feb-2017,Fully Paid,debt_consolidation,AZ,32.52,660,664,43804.84,35000.0,0.0
1000055,30000,30000, 60 months,12.91%,681.21,C,C3,3 years,MORTGAGE,90904.0,Verified,Mar-2018,Current,medical,CO,28.47,760,764,20102.3,14754.85,0.0
1000056,20000,20000, 60 months,15.32%,479.16,C,C4,2 years,MORTGAGE,64774.0,Verified,Feb-2018,Current,house,CA,19.69,740,744,4422.29,3076.42,0.0
1000057,35000,35000, 36 months,27.18%,1432.26,F,F5,2 years,MORTGAGE,15000.0,Verified,Apr-2018,Fully Paid,debt_consolidation,GA,23.11,760,764,49976.08,35000.0,0.0
1000058,5000,5000, 60 months,11.36%,109.61,B,B2,5 years,MORTGAGE,15000.0,Source Verified,Jan-2018,Fully Paid,credit_card,MI,9.67,675,679,6384.86,5000.0,0.0
1000059,15000,15000, 36 months,5.16%,450.64,A,A5,3 years,OWN,63501.0,Verified,Nov-2017,In Grace Period,other,NY,24.63,690,694,4084.73,3776.78,0.0
1000060,30000,30000, 36 months,18.6%,1093.62,D,D2,3 years,RENT,95392.0,Source Verified,Oct-2016,Current,other,FL,12.84,780,784,11510.47,8770.93,0.0
1000061,35000,35000, 60 months,15.53%,842.42,C,C2,2 years,OWN,90364.0,Not Verified,Dec-2017,Current,credit_card,IL,19.58,760,764,21317.78,14761.49,0.0
1000062,5000,5000, 36 months,30.08%,212.48,G,G1,10+ years,OWN,109635.0,Verified,Jan-2018,Late (31-120 days),credit_card,OH,24.93,690,694,1384.23,904.81,0.0
1000063,35000,35000, 36 months,6.77%,1077.02,A,A3,7 years,OWN,101280.0,Source Verified,Mar-2016,Current,other,WA,4.79,720,724,15132.46,13660.02,0.0
1000064,25000,25000, 36 months,5.11%,750.51,A,A3,1 year,MORTGAGE,33979.0,Source Verified,Aug-2018,Current,other,MA,21.59,675,679,11357.27,10508.84,0.0
1000065,35000,35000, 36 months,19.77%,1296.63,D,D4,n/a,MORTGAGE,39519.0,Source Verified,Jun-2017,Current,house,GA,21.47,760,764,9398.91,7047.37,0.0
1000066,15000,15000, 36 months,10.19%,485.35,B,B2,3 years,MORTGAGE,52169.0,Not Verified,May-2018,Fully Paid,house,AZ,20.89,720,724,17092.53,15000.0,0.0
1000067,25000,25000, 60 months,8.25%,509.91,B,B4,7 years,MORTGAGE,77521.0,Source Verified,Feb-2017,Fully Paid,medical,GA,18.24,720,724,30287.5,25000.0,0.0
1000068,8000,8000, 36 months,12.52%,267.71,C,C5,n/a,OWN,95681.0,Verified,Mar-2018,Fully Paid,vacation,MI,4.89,780,784,9212.11,8000.0,0.0
1000069,25000,25000, 36 months,11.44%,823.69,B,B1,3 years,MORTGAGE,55016.0,Not Verified,Feb-2018,Fully Paid,house,WA,13.01,705,709,29165.39,25000.0,0.0
1000070,30000,30000, 60 months,15.28%,718.11,C,C5,7 years,MORTGAGE,84462.0,Not Verified,Dec-2018,Fully Paid,vacation,GA,12.38,760,764,41716.86,30000.0,0.0
1000071,35000,35000, 36 months,10.82%,1142.87,B,B2,1 year,OWN,109993.0,Not Verified,Sep-2017,Current,home_improvement,PA,14.65,675,679,11321.06,9630.66,0.0
1000072,8000,8000, 60 months,12.78%,181.12,B,B4,5 years,RENT,46221.0,Verified,Oct-2018,Current,medical,OH,17.82,720,724,4478.6,3296.96,0.0
1000073,20000,20000, 36 months,11.01%,654.87,B,B3,5 years,RENT,104987.0,Verified,Sep-2016,Current,moving,NC,5.91,780,784,11327.42,9609.56,0.0
1000074,30000,30000, 60 months,21.79%,824.99,D,D2,5 years,MORTGAGE,15000.0,Source Verified,Jan-2016,Fully Paid,vacation,VA,24.64,740,744,48480.35,30000.0,0.0
1000075,5000,5000, 60 months,7.13%,99.31,A,A1,1 year,RENT,18920.0,Source Verified,Jul-2018,Late (31-120 days),vacation,TX,17.13,705,709,1299.83,1090.72,0.0
1000076,5000,5000, 36 months,14.05%,171.01,C,C1,1 year,RENT,93346.0,Verified,Aug-2017,Fully Paid,moving,CO,5.65,690,694,6089.04,5000.0,0.0
1000077,5000,5000, 36 months,12.23%,166.62,C,C5,n/a,MORTGAGE,58487.0,Source Verified,Jan-2018,Current,house,CO,5.51,780,784,2607.82,2173.79,0.0
1000078,20000,20000, 36 months,11.17%,656.39,B,B5,3 years,OWN,83022.0,Verified,Jul-2016,Charged Off,medical,TX,6.72,660,664,2290.0,1832.0,481.66
1000079,30000,30000, 36 months,7.24%,929.61,A,A2,n/a,OWN,61219.0,Not Verified,Mar-2018,Fully Paid,vacation,NC,3.19,675,679,32890.8,30000.0,0.0
1000080,8000,8000, 60 months,6.86%,157.88,A,A3,1 year,OWN,15000.0,Verified,Jun-2018,Current,medical,PA,9.87,660,664,3984.19,3364.74,0.0
1000081,10000,10000, 36 months,8.2%,314.29,B,B5,2 years,RENT,101230.0,Verified,Jun-2017,Current,home_improvement,NC,27.48,660,664,5330.44,4711.18,0.0
1000082,30000,30000, 60 months,16.31%,734.49,C,C5,5 years,OWN,72580.0,Source Verified,Jun-2018,Fully Paid,medical,MI,18.65,760,764,42141.2,30000.0,0.0
1000083,15000,15000, 36 months,12.62%,502.67,B,B5,5 years,RENT,45691.0,Verified,Sep-2017,Default,major_purchase,CA,8.37,740,744,2664.1,2131.28,1101.93
1000084,5000,5000, 36 months,29.57%,211.08,G,G3,n/a,OWN,135226.0,Not Verified,Dec-2016,Current,vacation,GA,3.8,740,744,2618.71,1723.09,0.0
1000085,5000,5000, 60 months,5.75%,96.08,A,A5,1 year,MORTGAGE,70411.0,Source Verified,Aug-2018,Current,small_business,VA,7.71,660,664,2212.71,1919.16,0.0
1000086,25000,25000, 36 months,10.27%,809.85,B,B1,5 years,OWN,37558.0,Source Verified,Aug-2018,Fully Paid,moving,NY,27.87,675,679,28365.33,25000.0,0.0
1000087,30000,30000, 60 months,14.77%,710.08,C,C3,< 1 year,OWN,87667.0,Not Verified,Feb-2018,Fully Paid,vacation,CO,11.94,720,724,42489.82,30000.0,0.0
1000088,15000,15000, 60 months,5.23%,284.65,A,A5,n/a,RENT,63397.0,Verified,Aug-2018,Charged Off,medical,NJ,18.78,740,744,8554.46,6843.57,222.66
1000089,35000,35000, 60 months,27.42%,1077.54,F,F4,2 years,MORTGAGE,147694.0,Not Verified,Apr-2017,Fully Paid,debt_consolidation,CO,11.18,705,709,61853.26,35000.0,0.0
1000090,20000,20000, 60 months,8.29%,408.31,A,A1,n/a,OWN,86657.0,Source Verified,Oct-2016,Late (31-120 days),moving,GA,15.59,705,709,8668.87,7077.03,0.0
1000091,30000,30000, 60 months,10.0%,637.41,B,B4,2 years,MORTGAGE,15000.0,Verified,Dec-2018,Fully Paid,house,NJ,3.19,675,679,36938.63,30000.0,0.0
1000092,15000,15000, 60 months,22.65%,419.85,E,E3,5 years,RENT,113709.0,Source Verified,Sep-2018,Fully Paid,medical,MI,20.67,705,709,24652.49,15000.0,0.0
1000093,15000,15000, 60 months,22.51%,418.64,E,E4,10+ years,MORTGAGE,81486.0,Source Verified,Dec-2018,Fully Paid,major_purchase,OH,27.99,740,744,24259.62,15000.0,0.0
1000094,8000,8000, 60 months,16.28%,195.74,C,C2,10+ years,MORTGAGE,75221.0,Not Verified,Jul-2018,Fully Paid,other,NJ,18.92,705,709,11368.97,8000.0,0.0
1000095,20000,20000, 36 months,16.72%,710.27,C,C1,1 year,MORTGAGE,95327.0,Verified,Oct-2017,Charged Off,moving,MA,28.4,780,784,7036.33,5629.06,1040.55
1000096,15000,15000, 60 months,7.52%,300.71,A,A2,1 year,MORTGAGE,98295.0,Source Verified,Oct-2016,Current,car,AZ,3.83,760,764,7880.96,6551.96,0.0
1000097,20000,20000, 60 months,14.66%,472.24,C,C3,< 1 year,OWN,64196.0,Verified,Aug-2018,Late (31-120 days),major_purchase,NC,26.51,690,694,6391.03,4511.15,0.0
1000098,12000,12000, 60 months,29.6%,385.3,G,G1,n/a,RENT,22672.0,Not Verified,Jul-2016,In Grace Period,medical,CA,7.07,760,764,5754.18,2986.86,0.0
1000099,25000,25000, 60 months,6.14%,484.95,A,A1,2 years,RENT,15000.0,Not Verified,Apr-2018,Fully Paid,small_business,IL,34.85,660,664,29036.52,25000.0,0.0
1000100,12000,12000, 60 months,7.52%,240.57,A,A1,n/a,OWN,91277.0,Verified,Apr-2017,Charged Off,major_purchase,MA,23.15,690,694,5432.44,4345.95,465.41
1000101,25000,25000, 60 months,14.9%,593.44,C,C4,5 years,OWN,87062.0,Not Verified,Jun-2018,Current,home_improvement,TX,7.47,675,679,5892.88,4137.51,0.0
1000102,35000,35000, 60 months,12.08%,779.97,B,B3,5 years,MORTGAGE,41044.0,Source Verified,Apr-2018,Current,major_purchase,AZ,34.68,780,784,20386.6,15246.98,0.0
1000103,15000,15000, 36 months,22.77%,578.85,E,E1,5 years,OWN,59511.0,Source Verified,Nov-2017,Fully Paid,debt_consolidation,AZ,26.93,705,709,19880.08,15000.0,0.0
1000104,15000,15000, 36 months,11.31%,493.29,B,B5,5 years,RENT,62338.0,Not Verified,Aug-2018,Late (31-120 days),car,OH,31.93,705,709,3061.03,2585.56,0.0
1000105,20000,20000, 60 months,15.54%,481.49,C,C5,1 year,OWN,97311.0,Not Verified,Sep-2016,Current,debt_consolidation,NC,21.35,675,679,8553.55,5921.58,0.0
1000106,5000,5000, 60 months,16.13%,121.94,D,D1,5 years,MORTGAGE,15973.0,Not Verified,Jun-2016,Current,small_business,IL,23.04,660,664,3200.45,2187.18,0.0
1000107,12000,12000, 60 months,10.78%,259.59,B,B5,2 years,MORTGAGE,69428.0,Source Verified,Jun-2017,Charged Off,medical,VA,19.8,740,744,1548.65,1238.92,439.93
1000108,35000,35000, 36 months,23.8%,1369.48,E,E4,10+ years,OWN,94478.0,Source Verified,Mar-2017,Fully Paid,credit_card,AZ,30.12,760,764,48730.93,35000.0,0.0
1000109,12000,12000, 36 months,6.9%,369.98,A,A5,10+ years,OWN,48626.0,Source Verified,May-2017,Charged Off,credit_card,OH,18.46,780,784,6301.65,5041.32,408.71
1000110,15000,15000, 60 months,14.38%,351.99,C,C5,1 year,OWN,72526.0,Source Verified,Mar-2017,Late (31-120 days),medical,CO,22.82,660,664,9861.39,7004.03,0.0
1000111,5000,5000, 36 months,6.08%,152.29,A,A1,1 year,RENT,100879.0,Verified,Aug-2018,Fully Paid,moving,NJ,32.61,690,694,5215.12,5000.0,0.0
1000112,12000,12000, 60 months,11.66%,264.88,B,B3,10+ years,OWN,24315.0,Verified,Oct-2016,Charged Off,vacation,CO,25.2,690,694,1243.89,995.11,333.63
1000113,25000,25000, 36 months,27.23%,1023.72,F,F3,n/a,MORTGAGE,121766.0,Verified,Feb-2017,Current,car,FL,27.13,780,784,10724.58,7275.06,0.0
1000114,15000,15000, 60 months,30.44%,489.36,G,G3,3 years,RENT,34527.0,Source Verified,Jun-2017,Fully Paid,credit_card,PA,30.6,740,744,29041.57,15000.0,0.0
1000115,15000,15000, 36 months,15.86%,526.32,C,C5,3 years,RENT,33818.0,Not Verified,Oct-2017,Fully Paid,major_purchase,TX,23.59,740,744,18524.14,15000.0,0.0
1000116,5000,5000, 36 months,24.93%,198.61,E,E5,7 years,RENT,83716.0,Not Verified,Mar-2017,Charged Off,debt_consolidation,GA,13.43,780,784,2334.38,1867.51,374.99
1000117,10000,10000, 36 months,21.02%,376.85,E,E2,1 year,OWN,60173.0,Verified,Dec-2016,Charged Off,home_improvement,CA,17.34,660,664,3448.5,2758.8,985.54
1000118,10000,10000, 60 months,8.87%,206.95,B,B2,< 1 year,RENT,54786.0,Not Verified,May-2017,Fully Paid,small_business,FL,20.33,705,709,11848.81,10000.0,0.0
1000119,10000,10000, 60 months,18.24%,255.24,D,D4,1 year,MORTGAGE,101702.0,Not Verified,Sep-2018,Current,major_purchase,NY,14.3,780,784,1757.91,1147.88,0.0
1000120,12000,12000, 60 months,19.65%,315.59,D,D5,< 1 year,MORTGAGE,83234.0,Source Verified,Feb-2016,Charged Off,small_business,FL,30.56,660,664,5479.55,4383.64,928.46
1000121,12000,12000, 36 months,13.46%,406.99,C,C4,2 years,RENT,83457.0,Verified,Sep-2017,Default,medical,VA,30.32,760,764,2607.21,2085.77,746.28
1000122,35000,35000, 60 months,11.04%,761.68,B,B5,1 year,OWN,53311.0,Verified,Apr-2018,Charged Off,other,PA,31.56,720,724,4018.13,3214.5,1404.74
1000123,10000,10000, 60 months,12.64%,225.69,B,B2,10+ years,MORTGAGE,15000.0,Not Verified,Jun-2018,Fully Paid,credit_card,VA,30.16,675,679,13099.97,10000.0,0.0
1000124,25000,25000, 60 months,10.51%,537.47,B,B3,1 year,RENT,64133.0,Verified,Jul-2018,Late (31-120 days),credit_card,CO,31.26,720,724,6769.87,5248.25,0.0
1000125,25000,25000, 36 months,5.66%,756.7,A,A3,7 years,OWN,93357.0,Verified,Dec-2018,Charged Off,small_business,WA,34.96,660,664,11470.49,9176.39,2018.58
1000126,25000,25000, 36 months,23.21%,970.48,E,E4,7 years,RENT,70029.0,Not Verified,Aug-2017,In Grace Period,moving,PA,34.92,705,709,11527.51,8248.72,0.0
1000127,25000,25000, 36 months,5.48%,754.67,A,A4,7 years,RENT,80753.0,Source Verified,Nov-2017,Current,house,OH,18.4,720,724,12663.59,11652.99,0.0
1000128,5000,5000, 36 months,22.79%,193.0,E,E5,< 1 year,RENT,36369.0,Source Verified,Jun-2017,Charged Off,medical,VA,16.96,690,694,1004.95,803.96,8.83
1000129,30000,30000, 36 months,11.21%,985.15,B,B2,1 year,RENT,63667.0,Not Verified,Feb-2018,Charged Off,other,CA,19.85,690,694,17388.14,13910.51,2255.89
1000130,12000,12000, 36 months,6.59%,368.28,A,A5,7 years,RENT,15302.0,Source Verified,Jun-2018,Fully Paid,medical,VA,32.0,780,784,12810.85,12000.0,0.0
1000131,35000,35000, 36 months,18.37%,1271.84,D,D5,2 years,OWN,102469.0,Verified,Oct-2016,Default,other,TX,9.97,740,744,14935.19,11948.15,1047.84
1000132,8000,8000, 60 months,12.0%,177.96,B,B4,5 years,RENT,158391.0,Not Verified,Mar-2018,Charged Off,credit_card,WA,27.87,675,679,3045.96,2436.77,633.58
1000133,30000,30000, 60 months,11.98%,667.03,B,B3,< 1 year,RENT,118810.0,Source Verified,Aug-2017,Charged Off,house,NY,31.78,705,709,13118.96,10495.17,2443.92
1000134,15000,15000, 36 months,6.48%,459.6,A,A3,5 years,MORTGAGE,102678.0,Verified,May-2017,Current,debt_consolidation,MI,23.55,675,679,2328.92,2111.36,0.0
1000135,30000,30000, 36 months,18.49%,1091.96,D,D2,7 years,RENT,66398.0,Source Verified,Mar-2017,Fully Paid,debt_consolidation,CO,33.67,720,724,37415.48,30000.0,0.0
1000136,10000,10000, 60 months,6.01%,193.37,A,A1,10+ years,MORTGAGE,15000.0,Verified,Feb-2018,Charged Off,small_business,CA,19.03,660,664,1327.65,1062.12,455.12
1000137,5000,5000, 60 months,31.34%,165.91,G,G2,1 year,MORTGAGE,38921.0,Verified,Dec-2017,Current,major_purchase,CO,4.0,660,664,2526.49,1269.01,0.0
1000138,15000,15000, 36 months,13.83%,511.43,C,C5,7 years,RENT,94549.0,Source Verified,Aug-2017,Fully Paid,home_improvement,TX,15.75,675,679,17853.73,15000.0,0.0
1000139,10000,10000, 36 months,14.98%,346.56,C,C1,7 years,OWN,38772.0,Not Verified,Nov-2017,Default,home_improvement,OH,18.15,660,664,1006.17,804.93,508.17
1000140,12000,12000, 36 months,5.12%,360.3,A,A3,1 year,RENT,62716.0,Not Verified,Oct-2016,Fully Paid,vacation,MA,10.59,705,709,12867.81,12000.0,0.0
1000141,20000,20000, 60 months,20.35%,533.78,D,D5,7 years,RENT,22617.0,Source Verified,Sep-2017,Current,credit_card,MI,9.53,675,679,11955.71,7466.07,0.0
1000142,10000,10000, 60 months,11.34%,219.12,B,B3,1 year,MORTGAGE,35094.0,Source Verified,Nov-2017,Charged Off,vacation,NY,6.96,780,784,3303.85,2643.08,711.56
1000143,10000,10000, 36 months,7.66%,311.8,A,A3,10+ years,MORTGAGE,84735.0,Not Verified,Jun-2016,Current,moving,NY,8.21,675,679,1164.06,1037.04,0.0
1000144,8000,8000, 36 months,11.97%,265.6,B,B5,2 years,RENT,15000.0,Source Verified,Jul-2018,Fully Paid,credit_card,VA,20.78,660,664,9199.04,8000.0,0.0
1000145,25000,25000, 36 months,28.78%,1044.65,G,G1,n/a,OWN,78466.0,Not Verified,May-2018,Fully Paid,house,IL,22.43,760,764,37331.68,25000.0,0.0
1000146,35000,35000, 60 months,11.62%,771.85,B,B3,< 1 year,OWN,43740.0,Not Verified,Oct-2017,Fully Paid,car,TX,32.32,760,764,44584.21,35000.0,0.0
1000147,35000,35000, 60 months,9.78%,739.86,B,B5,7 years,RENT,137480.0,Not Verified,Oct-2016,Fully Paid,other,NJ,28.83,720,724,42974.48,35000.0,0.0
1000148,15000,15000, 60 months,28.03%,467.31,F,F3,5 years,OWN,90489.0,Source Verified,Jun-2016,Fully Paid,other,VA,15.66,760,764,26939.99,15000.0,0.0
1000149,30000,30000, 36 months,23.89%,1175.25,E,E5,7 years,RENT,86927.0,Source Verified,Apr-2018,Current,medical,IL,2.63,660,664,10094.57,7157.74,0.0
1000150,20000,20000, 60 months,26.33%,602.72,F,F3,2 years,RENT,133863.0,Source Verified,Sep-2016,Fully Paid,credit_card,NY,12.47,740,744,35690.51,20000.0,0.0
